NPS_Grupo;COMENTARIO_NPS;TACTICO;1ERA CAUSA RAIZ
Promotor;Buena atencion y buenas promos;CONVENIENCIA;Precio
Detractor;Precios altos y con la crisis es imposible sostener por ejemplo mi qbono;CONVENIENCIA;Precio
Pasivo;Quisiera que la senal de internet sea mejor;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;No.me.deja pedir wifi pass;CONVENIENCIA;Packs
Detractor;Todos los meses aumentan y en la calle no tengo senal;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Plames caros;CONVENIENCIA;Precio
Pasivo;;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Es muy buena;RELACIONAMIENTO;Atencion a Clientes
Promotor;Por la buena  senal ;RELACIONAMIENTO;Atencion a Clientes
Detractor;Muy caros  los prepago;RELACIONAMIENTO;Facturacion y Pago 
Promotor;Por que el otro mes no pude pagar y este mes page los 2 meses y no me cortaron la linea;CONVENIENCIA;Beneficios
Promotor;Funciona bien;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;No estoy conforme con la atencion al cliente;RELACIONAMIENTO;Atencion a Clientes
Promotor;BUENA ATENCIoN ;RELACIONAMIENTO;Atencion a Clientes
Detractor;El predio muy alto;CONVENIENCIA;Precio
Pasivo;Exorbitantes precios en la facturacion ;RELACIONAMIENTO;Facturacion y Pago 
Promotor;10;CONVENIENCIA;Packs
Pasivo;Muy costoso ;CONVENIENCIA;Precio
Promotor;;CONVENIENCIA;Packs
Pasivo;Esta muy caro y como es costumbre no atienden el telefono  sino tenes una promo no se puede pagar;CONVENIENCIA;Precio
Pasivo;;RELACIONAMIENTO;Atencion a Clientes
Detractor;Opion personal;CONVENIENCIA;Precio
Promotor;la facilidad en la comunicacion;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Abonos muy caros ;CONVENIENCIA;Precio
Promotor;;RELACIONAMIENTO;Atencion a Clientes
Promotor;;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Buena atencion,  buen servicio en gral pero hace mas de una semana que estamos sin cable y sin internet , funciona en forma intermitente y algunos dias, nada ;RELACIONAMIENTO;Atencion a Clientes
Promotor;ES UNA BUENA EMPRESA ;RELACIONAMIENTO;Atencion a Clientes
Pasivo;;CONVENIENCIA;Beneficios
Promotor;Tengo un descuento de 78% por 19 meses y recomendarlo seria una forma de agradecer ;CONVENIENCIA;Precio
Detractor;Carisimo ;CONVENIENCIA;Precio
Promotor;Muy buen servicio;CONVENIENCIA;Planes
Promotor;Precio;CONVENIENCIA;Precio
